Reading hours,Sleep hours,Entertainment hours,Exercise hours,Social media hours ,Mobile phone hours ,Class note taking,Study hours,Meal Preparation Hours,Part-Time Work Hours (Skip if you don't have any),Weekday Study Group,Weekend activities,Stress Level,Self-assessment: (Select out of 10),Study environment,Daily Planning,Health condition,Procrastination hour ,"CGPA  (e.g., 3.75)"
"1 hour per day for reading. When I notice something new, I express an interest in learning more about it.",Sleeps 6 to 7 hours per night,"I try for two hours, sometimes it takes longer, and sometimes I can't because of work pressure.",I get up in the morning and perform some exercise for 30 minutes to keep my body in good shape.,"There is no set time restriction for social media, sir; I watch it when I want to, therefore I don't watch it all the time; I try not to spend more than 2 hours every day. Because everything must be maintained by learning and working, sir.",I try to spend some time with my parents. They try to make regular contracts on the phone. It is also impossible to say sir specific. It is used when the phone is needed to know something suddenly,Frequently,"Sir, I attempt to study for three hours every day; it doesn't always work out, but I try to study on a regular basis.","No time is spent in cooking, aunt comes home and cooks. It takes some time to cook bazaar say 1 to 1.5 hours but it is 1 or 2 times in a week.","They want to work 8 hours a day in private jobs, sir. We can't do anything less if we want to.",Yes,"On weekends, try to participate in sports. Let's also study with friends and talk about the country's big challenges.",8,8,Quiet,TRUE,Good,The remainder of my time is spent viewing new cookery videos on YouTube.,3.2
5,7,1,0.5,1,1,Frequently,3,1.5,3,Yes,"Sports, Reading",7,7,Quiet,TRUE,Good,0.5,3.13
2,6,2,1,2,3,Sometimes,2,2.5,8,No,music,8,7,Noisy,FALSE,Fair,3,3.2
2,5,2,0,0,1,Always,2,2,9,No,Reading (Holy Quran),3,3,Noisy,FALSE,Good,1,3.1
2-3 hours,6-7 hours,Half an hour ,1 hour,30-45 min,1.30 min,Sometimes,2-3 hours,2.30 hours,9 hours,Yes,Studying ,4,6,Noisy,FALSE,Good,30-50 min,2.55
2 hours,8 hours ,2 hours,30 min,2 hours,45/50 min,Always,2 hours,4 hours,N/A,Yes,N/A,1,5,Quiet,TRUE,Good,2 hours,3
5,5,3,1,2,2,Never,0,0,,No,Sports ,3,10,Organized,FALSE,Excellent,0.1,3.56
2,6,1,1.3,1/1.5,1.5,Frequently,2,30 minute ,10,Yes,No,9,9,Quiet,TRUE,Good,1,3.12
2,5,,0.5,2,5,Sometimes,,,,No,Cycling,1,5,Organized,TRUE,Good,1,2.78
2,6,1,30 min,1,1,Sometimes,3,3,9,No,0,10,5,Quiet,TRUE,Fair,1,2.75
2-3 hours,5.30 - 6.30,1-2 hours,just salat not additional exercise.,as per needed (30-60 mint),20-40 min.,Always,"it's depend, if any exam or CT thats time 6- 10 hours , normal classes days 1-2 hours",1 - 2 hr,I am a full-time employee. ,Yes,weekend time goes for university. If there is any chance try to play any kind of game.,8,8,Noisy,TRUE,Fair,"it depends, somedays 1-2 hours, some days no.",3.54
1,7,2,0,1,1,Always,2,1,8,Yes,Sports,5,5,Organized,TRUE,Good,1,3.62
